コード,銘柄名,株価日付,始値,発表日,決算期,四半期,売上高,経常益,資本合計(純資産),売上高成長率,四半期成長率,経常益利回り,四半期割安率_四半期平均,四半期割安率_前年同期ベース,四半期割安率_前四半期,四半期成長率株価相関,経常益利回り株価相関
4681,リゾートトラスト,2025/05/16,1500.0,25/05/15,25.01-03,4Q,51649.0,923.0,150742.0,-0.0574,-0.28550000000000003,0.17809999999999998,0.0248,0.0173,-0.057999999999999996,0.122,0.889
9551,メタウォーター,2025/08/01,2390.0,25/07/25,25.04-06,1Q,33054.0,-665.0,82308.0,0.043,0.07139999999999999,-0.0323,0.2553,0.0565,-0.1489,0.943,-0.618
1885,東亜建設工業,2025/08/12,2249.0,25/08/08,25.04-06,1Q,83456.0,5033.0,104138.0,0.0435,0.1328,0.19329999999999997,0.14429999999999998,0.1112,0.0072,0.747,-0.287
3799,キーウェアＳＯＬ,2025/05/16,880.0,25/05/14,25.01-03,4Q,6067.0,700.0,2025.0,0.0077,0.1961,0.6043999999999999,0.050199999999999995,0.0659,0.2602,0.667,0.951
1942,関電工,2025/08/01,3461.0,25/07/31,25.04-06,1Q,165567.0,18261.0,386777.0,0.0518,0.1081,0.1889,0.0944,0.061399999999999996,0.0327,0.009,0.905
3443,川田ＴＥＣＨ,2025/08/12,3885.0,25/08/08,25.04-06,1Q,27551.0,1746.0,91255.0,-0.0416,-0.0955,0.0765,-0.11810000000000001,-0.0616,-0.0613,-0.792,-0.906
1944,きんでん,2025/08/01,4710.0,25/07/31,25.04-06,1Q,141412.0,8789.0,592485.0,0.0115,0.0716,0.0593,0.1092,0.0323,-0.0483,-0.932,-0.511
1835,東鉄工業,2025/08/08,4205.0,25/08/07,25.04-06,1Q,29229.0,2637.0,120292.0,0.018500000000000003,0.062400000000000004,0.0877,0.0754,0.031,-0.0451,-0.934,-0.888
4028,石原産業,2025/08/12,2463.0,25/08/08,25.04-06,1Q,42561.0,6190.0,115594.0,0.0331,0.12269999999999999,0.21420000000000003,0.1393,0.0601,0.11470000000000001,0.204,1.0
3964,オークネット,2025/08/08,1697.0,25/08/07,25.04-06,2Q,16554.0,2720.0,25507.0,0.015700000000000002,0.09519999999999999,0.4482,0.0818,0.1257,-0.0639,0.319,0.237
6744,能美防災,2025/08/08,3935.0,25/08/07,25.04-06,1Q,25678.0,45.0,127146.0,0.011899999999999999,-0.038599999999999995,0.0014000000000000002,-0.0736,-0.0202,-0.1233,-0.902,-0.725
1961,三機工業,2025/08/12,4910.0,25/08/08,25.04-06,1Q,49747.0,2612.0,102946.0,0.0048,0.0222,0.1015,0.0292,0.0189,-0.11539999999999999,-0.952,-0.904
7972,イトーキ,2025/08/08,2276.0,25/08/04,25.04-06,2Q,36500.0,3179.0,53983.0,0.0338,0.1725,0.3889,0.0716,0.0986,-0.17800000000000002,0.974,0.428
1808,長谷工,2025/08/08,2272.0,25/08/07,25.04-06,1Q,285906.0,19163.0,526600.0,0.001,0.0421,0.1456,0.042300000000000004,0.025099999999999997,-0.011200000000000002,-0.186,-0.911
3415,ＴＫＹ　ＢＡＳＥ,2025/06/20,407.0,25/06/16,25.02-04,1Q,4940.0,253.0,2026.0,0.0083,0.009399999999999999,0.49950000000000006,0.013000000000000001,0.0274,-0.1311,-0.166,-0.061
1723,日本電技,2025/08/01,4815.0,25/07/25,25.04-06,1Q,8424.0,1353.0,39736.0,0.0417,0.0529,0.1362,0.0541,0.038900000000000004,-0.09949999999999999,-1.0,-0.824
1969,高砂熱学工業,2025/08/12,8550.0,25/08/08,25.04-06,1Q,94205.0,10906.0,181126.0,0.0587,0.1861,0.2408,0.23010000000000003,0.1697,0.051,0.741,1.0
1965,テクノ菱和,2025/08/08,4075.0,25/08/07,25.04-06,1Q,20479.0,2499.0,53535.0,0.048499999999999995,0.1402,0.1867,0.1867,0.1151,-0.0009,-0.681,0.675
8006,ユアサフナショク,2025/08/12,5150.0,25/08/08,25.04-06,1Q,30939.0,953.0,39602.0,0.0049,0.0634,0.09630000000000001,0.0557,0.018500000000000003,0.017,-0.193,0.995
3763,プロシップ,2025/08/12,3400.0,25/08/08,25.04-06,1Q,1806.0,588.0,2026.0,0.0407,0.13019999999999998,1.1609,0.1949,0.7184,-0.039599999999999996,0.493,0.7
6331,三菱化工機,2025/08/01,2184.0,25/07/31,25.04-06,1Q,15813.0,1754.0,38090.0,0.0613,0.0733,0.18420000000000003,0.058899999999999994,0.0351,0.037000000000000005,-0.962,0.999
1801,大成建設,2025/08/12,9798.0,25/08/08,25.04-06,1Q,440339.0,41145.0,875045.0,-0.0078000000000000005,0.08839999999999999,0.1881,0.1202,0.0692,0.0388,-0.998,0.981
5105,ＴＯＹＯＴＩＲＥ,2025/08/12,3615.0,25/08/08,25.04-06,2Q,147900.0,25474.0,477859.0,0.0034000000000000002,-0.0281,0.183,-0.1015,-0.0806,0.0253,0.064,-0.233
3417,大木ヘルスケアＨ,2025/08/08,1200.0,25/08/05,25.04-06,1Q,90519.0,881.0,31015.0,0.0098,0.066,0.11359999999999999,0.06509999999999999,0.0292,-0.0149,-0.951,0.317
3096,オーシャンＳ,,,25/08/12,25.04-06,1Q,23997.0,661.0,11662.0,0.0176,0.0196,0.2267,-0.0096,-0.0076,0.061799999999999994,,
4732,ＵＳＳ,2025/08/08,1661.0,25/08/05,25.04-06,1Q,27389.0,14870.0,190811.0,0.0165,0.0223,0.31170000000000003,0.0337,0.037000000000000005,0.047,-0.61,0.959
8052,椿本興業,2025/08/01,2615.0,25/07/25,25.04-06,1Q,30502.0,1753.0,44151.0,0.045899999999999996,0.1119,0.1588,0.1174,0.0687,0.0108,0.999,0.978
6013,タクマ,2025/08/08,2200.0,25/08/06,25.04-06,1Q,30444.0,1342.0,105963.0,-0.0126,-0.0676,0.0507,-0.0783,-0.0301,-0.0779,-0.997,-1.0
7212,エフテック,2025/08/08,717.0,25/08/07,25.04-06,1Q,69590.0,1019.0,61649.0,-0.0174,0.0824,0.0661,0.2544,0.0564,0.0187,0.085,0.756
1417,ミライトワン,,,25/08/12,25.04-06,1Q,121374.0,1303.0,262568.0,0.0069,-0.0452,0.0199,-0.08460000000000001,-0.0189,-0.0819,,
6637,寺崎電気産業,,,25/08/12,25.04-06,1Q,13593.0,1223.0,52274.0,0.01,-0.0356,0.09359999999999999,-0.056600000000000004,-0.023700000000000002,-0.0241,,
8007,高島,2025/08/08,1627.0,25/08/07,25.04-06,1Q,21597.0,573.0,23197.0,-0.0285,0.0956,0.09880000000000001,0.1091,0.0371,0.014199999999999999,0.198,0.959
7532,ＰＰＩＨ,2025/05/16,4495.0,25/05/14,25.01-03,3Q,559593.0,38754.0,615149.0,0.018000000000000002,-0.0076,0.2717,-0.0137,-0.0146,-0.0259,0.394,0.806
4404,ミヨシ油脂,2025/08/08,1936.0,25/08/04,25.04-06,2Q,15236.0,282.0,39430.0,0.015,-0.9506999999999999,0.027200000000000002,-0.474,-0.13699999999999998,-0.006,-0.988,-0.646
7279,ハイレックスＣ,2025/06/13,1881.0,25/06/06,25.02-04,2Q,74844.0,1475.0,187849.0,-0.0039000000000000003,0.1465,0.015700000000000002,-0.11359999999999999,-0.010700000000000001,-0.0208,0.563,-0.519
4619,日本特殊塗料,2025/08/12,2090.0,25/08/08,25.04-06,1Q,15136.0,1455.0,62260.0,-0.018799999999999997,-0.0291,0.0935,-0.038,-0.015,-0.0111,0.104,-0.51
9436,沖縄セルラ,2025/08/01,5200.0,25/07/25,25.04-06,1Q,20613.0,4688.0,98851.0,0.009399999999999999,0.0173,0.18969999999999998,0.0124,0.0092,0.009000000000000001,-0.97,0.626
8194,ライフＣ,2025/07/11,2220.0,25/07/08,25.03-05,1Q,216285.0,7972.0,141349.0,0.0115,0.0304,0.2256,0.0279,0.0206,0.0728,0.212,0.83
6750,エレコム,2025/05/16,1733.0,25/05/15,25.01-03,4Q,30672.0,3910.0,82692.0,0.013600000000000001,0.0141,0.1595,0.0092,0.005,0.0108,0.02,0.913
9621,建設技術研究所,,,25/08/12,25.04-06,2Q,20684.0,197.0,63180.0,-0.0089,-0.0633,0.191,,-0.0398,,,
6332,月島Ｈ,2025/08/12,2568.0,25/08/08,25.04-06,1Q,24815.0,685.0,109735.0,0.0051,0.030299999999999997,0.025,0.0537,0.011000000000000001,-0.0665,-0.7,-0.485
9743,丹青社,2025/06/20,1278.0,25/06/13,25.02-04,1Q,33995.0,4571.0,34973.0,0.1092,0.363,0.5228,0.3651,0.3251,0.439,0.825,0.993
1952,新日本空調,2025/08/12,3165.0,25/08/08,25.04-06,1Q,30632.0,2363.0,68968.0,0.039900000000000005,0.0969,0.13699999999999998,0.1379,0.0708,-0.0358,0.465,0.048
9201,日本航空,2025/08/01,2947.0,25/07/30,25.04-06,1Q,471083.0,40861.0,1199504.0,0.024900000000000002,0.1101,0.1363,0.0731,0.04650000000000001,-0.02,-0.324,-0.972
3280,エストラスト,2025/07/18,1166.0,25/07/11,25.03-05,1Q,8869.0,1308.0,10381.0,0.2236,0.3273,0.504,-0.032400000000000005,-0.059000000000000004,-0.23620000000000002,0.999,0.121
1938,日本リーテック,2025/08/08,1987.0,25/08/07,25.04-06,1Q,12173.0,112.0,62098.0,0.0132,0.058499999999999996,0.0072,0.13119999999999998,0.0248,-0.0862,-0.427,-0.535
3284,フージャースＨ,2025/08/12,1350.0,25/08/08,25.04-06,1Q,9712.0,-1222.0,45216.0,-0.0002,-0.016,-0.1081,-0.040999999999999995,-0.0155,-0.2877,-0.981,-0.546
4617,中国塗料,2025/08/01,2966.0,25/07/31,25.04-06,1Q,32589.0,3966.0,86084.0,0.026099999999999998,0.005699999999999999,0.1843,-0.0067,-0.0051,0.0,-0.359,-0.286
8037,カメイ,2025/08/08,2618.0,25/08/07,25.04-06,1Q,141162.0,4468.0,166383.0,0.0187,0.0358,0.1074,0.0348,0.0138,0.0008,0.376,0.774
6028,テクノプロＨ,2025/08/08,4933.0,25/08/06,25.04-06,4Q,61212.0,1858.0,81057.0,0.0191,-0.0742,0.2994,0.020499999999999997,0.0291,-0.0668,-0.969,-0.976
1870,矢作建設工業,2025/08/08,2010.0,25/08/06,25.04-06,1Q,41153.0,3676.0,69614.0,0.0935,0.2518,0.2112,0.36869999999999997,0.16399999999999998,0.086,0.241,0.855
1934,ユアテック,2025/08/01,2405.0,25/07/30,25.04-06,1Q,55995.0,1800.0,145104.0,0.0265,0.039,0.0496,0.056799999999999996,0.0184,-0.0675,-0.98,-0.793
2485,ティア,2025/05/16,481.0,25/05/14,25.01-03,2Q,6161.0,978.0,2025.0,0.0382,0.2168,1.5556,0.1905,0.772,0.3763,0.785,0.965
1946,トーエネック,2025/08/01,1346.0,25/07/29,25.04-06,1Q,61158.0,3377.0,135496.0,0.0043,0.045700000000000005,0.09970000000000001,0.046799999999999994,0.018799999999999997,-0.0127,-0.972,-0.564
4633,サカタインクス,2025/08/08,2148.0,25/08/07,25.04-06,2Q,62337.0,4415.0,115588.0,0.0016,0.08810000000000001,0.1497,,,0.0021,0.385,0.169
4680,ラウンドワン,2025/08/12,1571.0,25/08/08,25.04-06,1Q,43485.0,5157.0,68245.0,0.0172,0.0155,0.3023,0.0378,0.046799999999999994,-0.015700000000000002,0.94,-0.605
8015,豊田通商,2025/08/01,3493.0,25/07/31,25.04-06,1Q,2593820.0,145071.0,2793742.0,0.0051,0.0163,0.2077,0.0096,0.0077,0.012199999999999999,-0.421,0.987
6814,古野電気,2025/07/11,3740.0,25/07/09,25.03-05,1Q,31296.0,3918.0,72980.0,0.023799999999999998,0.052300000000000006,0.2147,0.019799999999999998,0.015300000000000001,0.0868,-0.599,0.777
2124,ＪＡＣリクルート,,,25/08/12,25.04-06,2Q,11454.0,2823.0,18469.0,0.044000000000000004,0.061900000000000004,0.6765000000000001,0.0623,0.16,-0.15410000000000001,,
7984,コクヨ,2025/08/01,933.0,25/07/30,25.04-06,2Q,85723.0,4414.0,265533.0,0.008199999999999999,-0.0417,0.13140000000000002,-0.0027,-0.0014000000000000002,-0.0642,-0.978,-0.132
7981,タカラＳＴＤ,2025/08/08,2570.0,25/08/05,25.04-06,1Q,61385.0,4473.0,192535.0,0.016399999999999998,0.0693,0.0929,0.0702,0.0233,0.0106,-0.51,0.465
6508,明電舎,2025/08/01,5540.0,25/07/31,25.04-06,1Q,58390.0,573.0,140368.0,0.011200000000000002,0.0167,0.0163,0.037200000000000004,0.0097,-0.13269999999999998,-0.776,-0.829
8227,しまむら,2025/07/04,10050.0,25/06/30,25.03-05,1Q,168369.0,15812.0,504579.0,0.0058,0.0106,0.1253,-0.0038,-0.0018,0.035699999999999996,-0.346,0.536
7649,スギＨ,2025/07/11,3305.0,25/07/10,25.03-05,1Q,245458.0,11372.0,268567.0,0.0482,0.0499,0.16940000000000002,0.0231,0.0146,0.0482,0.999,0.335
7483,ドウシシャ,2025/08/01,2463.0,25/07/31,25.04-06,1Q,29990.0,3471.0,90182.0,0.0183,0.09269999999999999,0.154,0.07440000000000001,0.0355,0.0492,0.7,0.719
5802,住友電気工業,2025/08/01,3585.0,25/07/31,25.04-06,1Q,1148436.0,61837.0,2513645.0,0.006999999999999999,0.0097,0.0984,0.0143,0.006,-0.0239,-0.63,-0.85
9369,キユーソー流通Ｓ,2025/07/04,2857.0,25/07/03,25.03-05,2Q,51133.0,1651.0,55207.0,0.011200000000000002,-0.0629,0.059800000000000006,-0.15109999999999998,-0.0493,-0.011000000000000001,-0.696,-0.444
1980,ダイダン,2025/08/12,5900.0,25/08/08,25.04-06,1Q,60147.0,10066.0,110640.0,0.056799999999999996,0.2527,0.3639,0.2893,0.2731,0.1489,0.194,0.987
8864,空港施設,2025/07/25,862.0,25/07/24,25.04-06,1Q,9451.0,2304.0,63535.0,0.0819,0.18230000000000002,0.1451,0.16210000000000002,0.0622,0.0711,0.978,0.783
7245,大同メタル工業,2025/08/08,691.0,25/08/07,25.04-06,1Q,33516.0,1467.0,80881.0,0.0022,0.0166,0.0726,0.0177,0.0052,-0.0105,-1.0,-0.58
8593,三菱ＨＣキャピ,2025/08/12,1198.0,25/08/08,25.04-06,1Q,584500.0,79694.0,1780828.0,0.0255,0.1359,0.179,0.1392,0.0709,0.0717,0.957,0.998
6061,ユニバーサル園芸,2025/05/16,4245.0,25/05/14,25.01-03,3Q,5528.0,945.0,13378.0,0.0406,0.016200000000000003,0.19829999999999998,0.014199999999999999,0.0087,0.031,-0.75,0.011
2114,フジ日本,2025/08/01,1100.0,25/07/31,25.04-06,1Q,7107.0,879.0,24321.0,0.0126,-0.029900000000000003,0.1446,-0.0304,-0.018799999999999997,-0.0083,-0.859,-0.634
3467,アグレ都市デザ,2025/08/12,2006.0,25/08/08,25.04-06,1Q,6930.0,414.0,2026.0,0.0599,0.10189999999999999,0.8173999999999999,0.1366,0.5033,-0.2928,0.372,-0.526
4776,サイボウズ,2025/08/12,4020.0,25/08/08,25.04-06,2Q,9140.0,2479.0,14355.0,0.058499999999999996,0.185,0.6975,0.1304,0.3054,-0.1353,-0.58,0.379
8252,丸井グループ,2025/08/08,3100.0,25/08/05,25.04-06,1Q,67401.0,12400.0,242597.0,0.029300000000000003,0.0726,0.2045,0.08039999999999999,0.055,0.042699999999999995,0.25,0.761
6071,ＩＢＪ,2025/08/12,832.0,25/08/08,25.04-06,2Q,4919.0,781.0,2025.0,0.0321,0.056900000000000006,1.758,0.0802,0.505,-0.21530000000000002,0.412,0.81
1893,五洋建設,2025/08/08,968.0,25/08/07,25.04-06,1Q,174141.0,10040.0,171962.0,0.0265,0.125,0.2335,0.1005,0.0611,0.124,0.654,0.643
1926,ライト工業,2025/08/12,3280.0,25/08/08,25.04-06,1Q,30520.0,2809.0,85278.0,0.0403,0.0417,0.1318,0.0552,0.030699999999999998,-0.0167,-0.76,-0.849
1976,明星工業,2025/08/01,1575.0,25/07/31,25.04-06,1Q,13840.0,1287.0,67918.0,-0.0149,-0.05,0.0758,-0.0747,-0.0373,-0.08650000000000001,-0.55,-0.779
3341,日本調剤,2025/08/01,3550.0,25/07/31,25.04-06,1Q,94155.0,1457.0,59432.0,0.021,0.1656,0.0981,0.2734,0.0922,-0.0189,0.474,0.34
7994,オカムラ,2025/08/12,2385.0,25/08/08,25.04-06,1Q,75449.0,3939.0,185940.0,0.008199999999999999,-0.0723,0.08470000000000001,-0.11019999999999999,-0.0462,-0.056900000000000006,-0.713,-0.254
8919,カチタス,2025/08/08,2512.0,25/08/07,25.04-06,1Q,35063.0,4199.0,46387.0,0.028999999999999998,0.0787,0.36210000000000003,0.048499999999999995,0.06309999999999999,0.058600000000000006,0.924,0.973
5352,黒崎播磨,2025/08/01,3560.0,25/07/29,25.04-06,1Q,44015.0,3908.0,100618.0,0.0004,0.0222,0.15539999999999998,0.0098,0.0058,0.004699999999999999,-0.194,0.931
3798,ＵＬＳグループ,2025/08/12,7430.0,25/08/08,25.04-06,1Q,3804.0,894.0,10775.0,0.0673,0.060899999999999996,0.3319,-0.4744,-1.0962,0.0802,0.809,0.743
6845,アズビル,2025/08/08,1409.5,25/08/05,25.04-06,1Q,62053.0,7461.0,229237.0,-0.0118,0.013300000000000001,0.13019999999999998,0.0147,0.0087,-0.0451,-0.687,-0.622
9037,ハマキョウＲ,2025/08/01,1441.0,25/07/30,25.04-06,1Q,37392.0,3943.0,103157.0,0.0111,0.025699999999999997,0.15289999999999998,0.0084,0.0049,0.0128,0.805,0.635
7438,コンドーテック,2025/08/12,1631.0,25/08/08,25.04-06,1Q,20170.0,963.0,38369.0,0.0129,-0.0013,0.10039999999999999,-0.0152,-0.0070999999999999995,-0.0216,-0.382,-0.97
2726,パルＧＨ,2025/07/11,3570.0,25/07/08,25.03-05,1Q,58727.0,7857.0,73436.0,0.0339,0.056600000000000004,0.428,0.016399999999999998,0.0223,0.2188,-0.106,0.431
8844,コスモスイニシア,2025/08/08,1382.0,25/08/05,25.04-06,1Q,26850.0,3964.0,52088.0,-0.0042,0.1484,0.3044,0.1009,0.08470000000000001,0.1465,0.081,0.703
1949,住友電設,2025/08/01,6800.0,25/07/30,25.04-06,1Q,42226.0,2569.0,118657.0,0.011699999999999999,0.020099999999999996,0.0866,0.0137,0.0067,-0.0721,-0.902,-0.803
3020,アプライド,2025/08/12,3475.0,25/08/08,25.04-06,1Q,9712.0,574.0,12162.0,-0.0027,0.0348,0.1888,0.0106,0.0084,-0.0362,-0.516,-0.691
6644,大崎電気工業,2025/08/08,1042.0,25/08/05,25.04-06,1Q,21966.0,1147.0,61976.0,0.0068000000000000005,0.0349,0.07400000000000001,0.0451,0.0132,-0.011000000000000001,-0.863,-0.908
1950,日本電設工業,2025/08/01,2893.0,25/07/31,25.04-06,1Q,30234.0,-71.0,205642.0,-0.013000000000000001,0.004,-0.0014000000000000002,0.0116,0.0016,-0.09390000000000001,-0.517,-0.672
9869,加藤産業,2025/08/12,5920.0,25/08/08,25.04-06,3Q,298474.0,4776.0,169171.0,0.0105,0.0397,0.1243,0.0055000000000000005,0.0028000000000000004,-0.0079,0.97,-0.987
1766,東建Ｃ,2025/06/13,13730.0,25/06/12,25.02-04,4Q,95494.0,5758.0,133751.0,0.0165,0.0443,0.1216,-0.029900000000000003,-0.0176,-0.0034000000000000002,-0.625,-0.968
3489,フェイスＮＷ,2025/05/16,1970.0,25/05/15,25.01-03,4Q,16794.0,3609.0,2025.0,0.0508,0.188,2.0277000000000003,0.33590000000000003,1.1462999999999999,1.7013,-0.375,0.907
8370,紀陽銀行,2025/08/08,2640.0,25/08/04,25.04-06,1Q,27189.0,8830.0,242408.0,0.0341,0.1367,0.1457,0.13470000000000001,0.0572,0.047,0.998,0.922
2353,日本駐車場開発,2025/06/13,243.0,25/06/06,25.02-04,3Q,10028.0,2384.0,21712.0,0.0246,0.0256,0.2668,-0.1451,-0.215,-0.13,0.097,-0.798
8359,八十二銀行,2025/08/08,1310.0,25/08/01,25.04-06,1Q,72632.0,23140.0,1003250.0,0.0462,0.0892,0.09230000000000001,0.11449999999999999,0.030299999999999997,0.0263,-0.625,0.998
